Jack of Spades, 4 of Hearts, 6 of Hearts, 3 of Hearts, 3 of Spades, ,One Pair,7.8%
Queen of Clubs, 3 of Hearts, 9 of Diamonds, Queen of Diamonds, Ace of Diamonds, ,One Pair,55.00000000000001%
7 of Clubs, 6 of Spades, 4 of Diamonds, King of Diamonds, 5 of Clubs, ,High Card,0.0%
3 of Clubs, 5 of Hearts, 2 of Diamonds, Queen of Clubs, Queen of Spades, ,One Pair,57.4%
7 of Hearts, 4 of Spades, 2 of Hearts, King of Hearts, 5 of Hearts, ,High Card,3.2%
9 of Diamonds, Jack of Spades, 9 of Hearts, King of Clubs, 7 of Spades, ,One Pair,31.0%
8 of Diamonds, King of Diamonds, Ace of Hearts, Jack of Clubs, 2 of Spades, ,High Card,4.2%
7 of Spades, 5 of Spades, 7 of Diamonds, 8 of Spades, Ace of Hearts, ,One Pair,16.0%
4 of Clubs, 3 of Clubs, Jack of Diamonds, Queen of Hearts, Jack of Spades, ,One Pair,52.2%
2 of Diamonds, Ace of Hearts, 10 of Diamonds, 5 of Hearts, King of Diamonds, ,High Card,2.0%
Jack of Clubs, King of Spades, 7 of Hearts, 6 of Diamonds, 4 of Clubs, ,High Card,0.2%
Ace of Hearts, Jack of Spades, 7 of Hearts, 8 of Clubs, 10 of Diamonds, ,High Card,0.0%
10 of Spades, 9 of Hearts, 7 of Clubs, King of Spades, Jack of Spades, ,High Card,0.0%
4 of Hearts, 6 of Clubs, 7 of Hearts, 9 of Spades, King of Clubs, ,High Card,0.0%
Ace of Clubs, 9 of Clubs, 2 of Spades, 5 of Spades, 4 of Hearts, ,High Card,0.4%
Queen of Clubs, 10 of Spades, 5 of Diamonds, 9 of Diamonds, King of Diamonds, ,High Card,0.0%
6 of Diamonds, Jack of Hearts, 2 of Diamonds, 8 of Hearts, 8 of Diamonds, ,One Pair,21.0%
7 of Diamonds, 6 of Diamonds, 3 of Diamonds, 3 of Clubs, 2 of Diamonds, ,One Pair,4.6%
4 of Diamonds, 9 of Hearts, 8 of Hearts, 3 of Clubs, Queen of Clubs, ,High Card,0.0%
8 of Diamonds, 6 of Clubs, 9 of Clubs, 6 of Spades, 9 of Diamonds, ,Two Pair,75.0%
King of Spades, Queen of Clubs, Jack of Spades, 7 of Hearts, 5 of Spades, ,High Card,0.2%
King of Hearts, 5 of Spades, 2 of Diamonds, Queen of Spades, 7 of Hearts, ,High Card,3.2%
4 of Hearts, 5 of Hearts, 3 of Hearts, 10 of Diamonds, 4 of Spades, ,One Pair,7.000000000000001%
7 of Spades, 8 of Spades, King of Diamonds, 10 of Clubs, 9 of Hearts, ,High Card,0.0%
9 of Hearts, King of Clubs, 8 of Hearts, 10 of Clubs, 9 of Spades, ,One Pair,32.800000000000004%
4 of Hearts, Queen of Hearts, Jack of Diamonds, 6 of Hearts, 9 of Spades, ,High Card,0.0%
9 of Spades, 9 of Diamonds, 8 of Diamonds, 5 of Diamonds, 9 of Hearts, ,Three of Kind,94.8%
7 of Clubs, 4 of Hearts, 3 of Spades, 2 of Clubs, King of Hearts, ,High Card,3.0%
2 of Hearts, 6 of Clubs, Jack of Diamonds, 4 of Clubs, 8 of Hearts, ,High Card,0.8%
Queen of Clubs, 10 of Clubs, 3 of Diamonds, 7 of Diamonds, 5 of Hearts, ,High Card,0.0%
8 of Clubs, Jack of Clubs, 4 of Diamonds, 3 of Clubs, Jack of Spades, ,One Pair,44.2%
8 of Hearts, 3 of Spades, Queen of Diamonds, Ace of Diamonds, 10 of Diamonds, ,High Card,0.0%
3 of Spades, 9 of Spades, Jack of Spades, Queen of Hearts, Jack of Diamonds, ,One Pair,49.2%
6 of Clubs, 4 of Clubs, 2 of Clubs, Queen of Clubs, Jack of Spades, ,High Card,2.6%
9 of Spades, 9 of Diamonds, 7 of Spades, 8 of Spades, 10 of Spades, ,One Pair,30.2%
4 of Spades, Queen of Spades, 8 of Spades, 6 of Hearts, 8 of Diamonds, ,One Pair,20.4%
6 of Hearts, 5 of Spades, 3 of Hearts, 3 of Clubs, 2 of Diamonds, ,One Pair,5.4%
10 of Clubs, King of Hearts, 9 of Hearts, 9 of Diamonds, 10 of Hearts, ,Two Pair,79.60000000000001%
9 of Diamonds, 9 of Hearts, Ace of Hearts, Queen of Spades, 5 of Diamonds, ,One Pair,31.4%
King of Hearts, 4 of Diamonds, 9 of Clubs, Jack of Diamonds, 9 of Spades, ,One Pair,34.8%
8 of Spades, 3 of Clubs, 7 of Diamonds, 10 of Diamonds, Ace of Diamonds, ,High Card,0.0%
5 of Hearts, Jack of Diamonds, 2 of Hearts, Ace of Hearts, 8 of Hearts, ,High Card,1.0%
3 of Hearts, Queen of Spades, 5 of Spades, Jack of Diamonds, 4 of Hearts, ,High Card,0.0%
10 of Spades, Queen of Hearts, Jack of Clubs, 9 of Hearts, 4 of Spades, ,High Card,0.0%
7 of Diamonds, Queen of Hearts, King of Spades, 2 of Spades, 7 of Clubs, ,One Pair,19.6%
Queen of Clubs, 3 of Hearts, 2 of Diamonds, Queen of Diamonds, 8 of Hearts, ,One Pair,55.800000000000004%
6 of Diamonds, 3 of Spades, 5 of Spades, 4 of Diamonds, Jack of Diamonds, ,High Card,0.0%
4 of Clubs, 8 of Hearts, 7 of Spades, Jack of Hearts, Queen of Spades, ,High Card,0.0%
Jack of Diamonds, King of Clubs, Queen of Clubs, 4 of Clubs, 6 of Spades, ,High Card,0.0%
7 of Diamonds, 7 of Hearts, 3 of Hearts, King of Hearts, 5 of Clubs, ,One Pair,16.6%
9 of Clubs, 10 of Hearts, King of Hearts, 8 of Hearts, 4 of Diamonds, ,High Card,0.0%
4 of Spades, 8 of Diamonds, 2 of Clubs, 7 of Spades, 3 of Spades, ,High Card,1.0%
5 of Clubs, 6 of Spades, King of Hearts, 3 of Hearts, 8 of Diamonds, ,High Card,0.0%
4 of Diamonds, Queen of Diamonds, Jack of Diamonds, 2 of Spades, Jack of Spades, ,One Pair,49.0%
5 of Hearts, Ace of Clubs, 10 of Spades, 9 of Spades, Queen of Diamonds, ,High Card,0.0%
8 of Diamonds, 6 of Clubs, Ace of Diamonds, 2 of Diamonds, 7 of Spades, ,High Card,1.0%
7 of Spades, 4 of Hearts, 7 of Diamonds, 3 of Spades, 2 of Spades, ,One Pair,13.8%
Jack of Diamonds, 2 of Diamonds, 7 of Diamonds, 6 of Diamonds, 8 of Spades, ,High Card,0.8%
8 of Spades, Jack of Diamonds, 10 of Spades, King of Spades, 6 of Spades, ,High Card,0.2%
3 of Spades, Ace of Hearts, 5 of Spades, Queen of Hearts, 2 of Diamonds, ,High Card,1.2%
Jack of Spades, 5 of Clubs, 10 of Diamonds, Ace of Clubs, 2 of Clubs, ,High Card,1.4000000000000001%
Jack of Diamonds, Queen of Clubs, 4 of Diamonds, 2 of Hearts, 6 of Clubs, ,High Card,3.0%
7 of Clubs, 10 of Hearts, Queen of Diamonds, 8 of Hearts, 6 of Clubs, ,High Card,0.0%
4 of Hearts, 9 of Diamonds, 5 of Spades, 5 of Clubs, 10 of Hearts, ,One Pair,10.8%
Jack of Diamonds, 4 of Spades, 9 of Hearts, 6 of Spades, Queen of Clubs, ,High Card,0.0%
Jack of Diamonds, King of Hearts, Ace of Spades, 5 of Spades, 3 of Spades, ,High Card,0.0%
10 of Diamonds, 7 of Diamonds, 2 of Spades, Ace of Clubs, 3 of Hearts, ,High Card,1.0%
2 of Hearts, 10 of Spades, Queen of Diamonds, 7 of Spades, 8 of Spades, ,High Card,1.6%
7 of Spades, 7 of Hearts, 3 of Diamonds, Jack of Spades, 3 of Hearts, ,Two Pair,72.6%
Jack of Clubs, 2 of Clubs, Jack of Diamonds, 3 of Spades, 7 of Clubs, ,One Pair,44.4%
5 of Hearts, 5 of Clubs, 2 of Clubs, 8 of Clubs, Queen of Clubs, ,One Pair,11.799999999999999%
Jack of Diamonds, Queen of Hearts, 5 of Diamonds, 8 of Diamonds, Queen of Clubs, ,One Pair,58.599999999999994%
5 of Hearts, 9 of Hearts, 7 of Hearts, Ace of Spades, 9 of Spades, ,One Pair,27.6%
5 of Clubs, 5 of Diamonds, 3 of Diamonds, 8 of Hearts, 2 of Hearts, ,One Pair,7.6%
2 of Spades, 9 of Spades, Jack of Spades, Jack of Hearts, Ace of Diamonds, ,One Pair,41.8%
Ace of Diamonds, 8 of Clubs, King of Spades, 2 of Diamonds, 10 of Diamonds, ,High Card,3.0%
10 of Clubs, 10 of Hearts, King of Clubs, 4 of Diamonds, Ace of Spades, ,One Pair,35.4%
7 of Diamonds, Ace of Hearts, 3 of Spades, 4 of Hearts, Jack of Clubs, ,High Card,0.0%
4 of Clubs, 4 of Diamonds, 5 of Clubs, 7 of Hearts, King of Spades, ,One Pair,10.4%
4 of Diamonds, 10 of Spades, King of Spades, Queen of Hearts, 7 of Spades, ,High Card,0.2%
6 of Hearts, Ace of Spades, Queen of Clubs, King of Clubs, 3 of Diamonds, ,High Card,0.2%
Ace of Diamonds, 9 of Hearts, 2 of Clubs, 3 of Hearts, 10 of Clubs, ,High Card,0.2%
2 of Clubs, 3 of Spades, King of Clubs, 10 of Hearts, 9 of Clubs, ,High Card,3.2%
4 of Hearts, 7 of Hearts, 9 of Hearts, 5 of Diamonds, Ace of Clubs, ,High Card,0.0%
7 of Diamonds, 8 of Clubs, Queen of Spades, 7 of Clubs, 6 of Diamonds, ,One Pair,15.4%
5 of Diamonds, 6 of Clubs, 10 of Diamonds, Queen of Clubs, 6 of Diamonds, ,One Pair,17.4%
9 of Clubs, 3 of Clubs, 2 of Spades, 10 of Spades, 2 of Hearts, ,One Pair,4.8%
Ace of Clubs, 5 of Diamonds, King of Spades, 6 of Clubs, Jack of Spades, ,High Card,0.0%
5 of Hearts, 3 of Hearts, 8 of Hearts, 6 of Clubs, King of Spades, ,High Card,0.0%
Ace of Clubs, King of Diamonds, Queen of Spades, 7 of Diamonds, 5 of Spades, ,High Card,0.0%
Jack of Hearts, 4 of Clubs, 5 of Spades, Queen of Diamonds, 4 of Hearts, ,One Pair,6.6000000000000005%
10 of Spades, 2 of Clubs, 4 of Diamonds, 6 of Diamonds, King of Diamonds, ,High Card,4.3999999999999995%
7 of Diamonds, 9 of Hearts, 8 of Diamonds, 4 of Spades, 9 of Clubs, ,One Pair,27.0%
4 of Hearts, 7 of Spades, 9 of Spades, Jack of Spades, 5 of Diamonds, ,High Card,0.0%
4 of Clubs, King of Diamonds, 8 of Clubs, King of Spades, 5 of Spades, ,One Pair,70.6%
7 of Spades, 2 of Hearts, 9 of Diamonds, 9 of Hearts, 8 of Spades, ,One Pair,25.2%
7 of Clubs, 9 of Spades, 10 of Hearts, Queen of Clubs, 8 of Diamonds, ,High Card,0.0%
Jack of Clubs, 6 of Diamonds, 5 of Hearts, King of Hearts, 2 of Spades, ,High Card,2.0%
5 of Hearts, 8 of Diamonds, 3 of Hearts, 2 of Hearts, 10 of Diamonds, ,High Card,0.2%
5 of Diamonds, 7 of Hearts, 5 of Hearts, Jack of Clubs, 9 of Spades, ,One Pair,10.6%
6 of Clubs, Jack of Diamonds, 2 of Clubs, 4 of Spades, 9 of Clubs, ,High Card,2.0%
Jack of Diamonds, 5 of Clubs, 3 of Hearts, 4 of Clubs, 9 of Clubs, ,High Card,0.0%
3 of Hearts, 4 of Spades, 10 of Hearts, 9 of Hearts, 4 of Hearts, ,One Pair,7.6%
Ace of Clubs, 10 of Diamonds, 5 of Hearts, King of Clubs, 4 of Hearts, ,High Card,0.0%
Queen of Hearts, 5 of Spades, 4 of Hearts, 9 of Spades, Queen of Spades, ,One Pair,56.99999999999999%
3 of Diamonds, 4 of Diamonds, King of Hearts, 10 of Clubs, 10 of Hearts, ,One Pair,39.0%
Jack of Clubs, 2 of Hearts, 5 of Clubs, King of Hearts, 4 of Spades, ,High Card,5.0%
7 of Hearts, 6 of Spades, 5 of Clubs, 8 of Diamonds, 8 of Hearts, ,One Pair,17.599999999999998%
Jack of Clubs, 4 of Diamonds, Ace of Diamonds, 5 of Clubs, 7 of Hearts, ,High Card,0.0%
2 of Spades, 7 of Clubs, 7 of Diamonds, 5 of Hearts, 2 of Diamonds, ,Two Pair,69.8%
Ace of Hearts, 9 of Diamonds, 2 of Clubs, 2 of Hearts, 9 of Clubs, ,Two Pair,74.2%
4 of Diamonds, 5 of Diamonds, 8 of Clubs, 5 of Hearts, 3 of Hearts, ,One Pair,12.0%
7 of Hearts, 3 of Clubs, 3 of Hearts, 6 of Clubs, 8 of Hearts, ,One Pair,7.6%
9 of Spades, Ace of Clubs, Queen of Diamonds, Queen of Hearts, 10 of Diamonds, ,One Pair,53.400000000000006%
9 of Spades, 3 of Hearts, Ace of Diamonds, 5 of Spades, 5 of Hearts, ,One Pair,9.2%
10 of Spades, Ace of Clubs, Ace of Spades, 10 of Clubs, 8 of Diamonds, ,One Pair,30.0%
2 of Clubs, Jack of Diamonds, 5 of Hearts, Queen of Diamonds, Jack of Hearts, ,One Pair,50.2%
Queen of Hearts, Ace of Diamonds, 5 of Clubs, 4 of Hearts, Ace of Spades, ,High Card,0.0%
9 of Spades, King of Hearts, 7 of Hearts, 5 of Hearts, 8 of Clubs, ,High Card,0.0%
King of Diamonds, Ace of Spades, Ace of Clubs, 4 of Spades, 3 of Hearts, ,High Card,0.0%
King of Clubs, 3 of Spades, 7 of Clubs, King of Spades, 6 of Spades, ,One Pair,68.60000000000001%
Queen of Diamonds, 7 of Clubs, 5 of Clubs, 8 of Diamonds, 6 of Diamonds, ,High Card,0.0%
8 of Spades, 10 of Diamonds, 2 of Diamonds, 8 of Clubs, Jack of Diamonds, ,One Pair,24.6%
2 of Clubs, Ace of Hearts, Jack of Clubs, 8 of Spades, 7 of Clubs, ,High Card,0.6%
4 of Diamonds, 3 of Clubs, 5 of Clubs, 8 of Clubs, King of Hearts, ,High Card,0.0%
8 of Diamonds, Ace of Diamonds, 2 of Spades, 9 of Clubs, 6 of Spades, ,High Card,0.6%
8 of Hearts, 10 of Diamonds, 6 of Diamonds, 2 of Diamonds, 7 of Diamonds, ,High Card,0.8%
7 of Diamonds, 9 of Clubs, 8 of Spades, 3 of Clubs, 10 of Hearts, ,High Card,0.0%
4 of Spades, 5 of Clubs, 9 of Diamonds, 2 of Hearts, King of Spades, ,High Card,3.2%
3 of Spades, 5 of Clubs, 6 of Clubs, 8 of Spades, Queen of Clubs, ,High Card,0.0%
5 of Hearts, Jack of Clubs, King of Spades, King of Clubs, Queen of Diamonds, ,One Pair,67.4%
2 of Hearts, 5 of Diamonds, Jack of Spades, 2 of Clubs, Queen of Diamonds, ,One Pair,4.6%
Jack of Spades, 8 of Diamonds, 4 of Hearts, 9 of Spades, 5 of Clubs, ,High Card,0.0%
King of Hearts, 9 of Diamonds, 5 of Clubs, 7 of Spades, 10 of Clubs, ,High Card,0.0%
Ace of Clubs, 3 of Diamonds, 8 of Hearts, 9 of Clubs, 2 of Diamonds, ,High Card,0.6%
8 of Hearts, King of Clubs, Jack of Hearts, 7 of Spades, Jack of Diamonds, ,One Pair,48.8%
King of Diamonds, Jack of Spades, 2 of Hearts, 4 of Hearts, 10 of Diamonds, ,High Card,4.0%
2 of Clubs, 10 of Clubs, 3 of Clubs, 4 of Clubs, 9 of Clubs, ,Flush,99.2%
7 of Diamonds, 10 of Spades, Jack of Hearts, Queen of Clubs, 7 of Hearts, ,One Pair,25.2%
6 of Diamonds, King of Clubs, Queen of Diamonds, Ace of Clubs, 2 of Diamonds, ,High Card,4.2%
2 of Spades, Jack of Spades, 10 of Diamonds, 4 of Hearts, 3 of Spades, ,High Card,0.8%
Ace of Diamonds, 10 of Clubs, 5 of Clubs, 9 of Diamonds, 3 of Hearts, ,High Card,0.0%
Jack of Diamonds, 6 of Hearts, 6 of Spades, 4 of Diamonds, 10 of Diamonds, ,One Pair,15.0%
2 of Clubs, 10 of Clubs, Jack of Diamonds, 6 of Spades, 3 of Diamonds, ,High Card,1.4000000000000001%
3 of Clubs, 10 of Spades, King of Diamonds, Queen of Spades, Queen of Clubs, ,One Pair,63.2%
9 of Clubs, Ace of Hearts, 10 of Hearts, 6 of Clubs, Jack of Hearts, ,High Card,0.0%
Jack of Hearts, 7 of Diamonds, Ace of Spades, 6 of Clubs, Queen of Spades, ,High Card,0.0%
2 of Diamonds, 5 of Clubs, 3 of Spades, 4 of Spades, Ace of Clubs, ,High Card,0.2%
Jack of Diamonds, 3 of Clubs, 6 of Hearts, 2 of Clubs, 9 of Diamonds, ,High Card,0.4%
10 of Hearts, Jack of Diamonds, Jack of Clubs, 8 of Spades, 7 of Diamonds, ,One Pair,39.6%
6 of Spades, Jack of Hearts, Queen of Clubs, 9 of Clubs, 3 of Hearts, ,High Card,0.0%
Jack of Hearts, 5 of Clubs, 7 of Hearts, 8 of Clubs, 8 of Hearts, ,One Pair,19.8%
Queen of Hearts, Ace of Diamonds, 5 of Spades, 7 of Spades, Ace of Clubs, ,High Card,0.0%
King of Clubs, 3 of Clubs, 7 of Hearts, 6 of Diamonds, 4 of Hearts, ,High Card,0.0%
6 of Clubs, King of Spades, 2 of Clubs, 7 of Diamonds, 4 of Spades, ,High Card,1.6%
8 of Clubs, 4 of Spades, 5 of Spades, 7 of Spades, 9 of Clubs, ,High Card,0.0%
Queen of Diamonds, King of Diamonds, Jack of Diamonds, Jack of Clubs, 3 of Hearts, ,One Pair,60.4%
Ace of Hearts, King of Diamonds, 3 of Hearts, 9 of Clubs, Jack of Spades, ,High Card,0.0%
4 of Spades, 7 of Clubs, 7 of Hearts, King of Hearts, Queen of Diamonds, ,One Pair,23.799999999999997%
Queen of Clubs, 7 of Hearts, 4 of Diamonds, 3 of Spades, King of Diamonds, ,High Card,0.0%
8 of Clubs, 10 of Clubs, 9 of Spades, 4 of Diamonds, 6 of Diamonds, ,High Card,0.0%
Queen of Hearts, 10 of Hearts, 9 of Hearts, Jack of Clubs, 3 of Hearts, ,High Card,0.0%
7 of Spades, 9 of Spades, King of Diamonds, King of Hearts, 5 of Clubs, ,One Pair,68.4%
Queen of Hearts, 4 of Diamonds, 9 of Diamonds, 3 of Diamonds, Queen of Diamonds, ,One Pair,55.60000000000001%
9 of Hearts, Ace of Diamonds, Queen of Diamonds, 6 of Clubs, 2 of Clubs, ,High Card,2.0%
3 of Diamonds, 10 of Clubs, Ace of Spades, Queen of Hearts, 5 of Hearts, ,High Card,0.0%
8 of Clubs, 3 of Hearts, 6 of Diamonds, Jack of Diamonds, 5 of Hearts, ,High Card,0.0%
4 of Spades, Jack of Clubs, 6 of Spades, Ace of Spades, 5 of Hearts, ,High Card,0.0%
2 of Diamonds, King of Clubs, 9 of Hearts, 2 of Clubs, 5 of Clubs, ,One Pair,5.6000000000000005%
8 of Hearts, 3 of Diamonds, 4 of Diamonds, 9 of Hearts, 3 of Hearts, ,One Pair,7.199999999999999%
2 of Clubs, 6 of Spades, 3 of Spades, 8 of Diamonds, 3 of Diamonds, ,One Pair,6.800000000000001%
5 of Clubs, 2 of Clubs, Ace of Hearts, Ace of Diamonds, Queen of Hearts, ,High Card,1.6%
6 of Hearts, Queen of Clubs, 10 of Clubs, 9 of Hearts, 5 of Hearts, ,High Card,0.0%
8 of Clubs, 3 of Diamonds, Jack of Hearts, King of Diamonds, 2 of Spades, ,High Card,5.0%
5 of Clubs, 5 of Spades, 2 of Hearts, Ace of Hearts, 10 of Spades, ,One Pair,10.8%
Queen of Hearts, 4 of Clubs, 6 of Diamonds, 4 of Diamonds, 6 of Clubs, ,Two Pair,71.0%
7 of Hearts, Queen of Diamonds, Jack of Hearts, 9 of Hearts, 3 of Spades, ,High Card,0.0%
King of Diamonds, Jack of Diamonds, 2 of Clubs, 5 of Clubs, 10 of Clubs, ,High Card,4.8%
King of Spades, King of Clubs, 10 of Clubs, 8 of Hearts, Ace of Hearts, ,One Pair,67.0%
5 of Spades, 2 of Diamonds, 7 of Hearts, 9 of Spades, 8 of Diamonds, ,High Card,1.4000000000000001%
10 of Diamonds, 7 of Diamonds, 10 of Clubs, 5 of Hearts, 6 of Diamonds, ,One Pair,32.4%
King of Diamonds, 5 of Hearts, Jack of Clubs, 8 of Diamonds, 2 of Hearts, ,High Card,4.6%
4 of Hearts, Ace of Clubs, 9 of Spades, 5 of Hearts, 8 of Clubs, ,High Card,0.0%
3 of Clubs, 2 of Hearts, Ace of Clubs, 10 of Hearts, Queen of Diamonds, ,High Card,1.7999999999999998%
King of Hearts, 8 of Spades, 5 of Hearts, 4 of Clubs, 6 of Hearts, ,High Card,0.0%
6 of Clubs, 10 of Clubs, 5 of Spades, 6 of Hearts, King of Spades, ,One Pair,17.0%
3 of Hearts, 8 of Spades, 9 of Spades, King of Diamonds, 2 of Clubs, ,High Card,3.2%
3 of Spades, 5 of Spades, Ace of Hearts, 7 of Clubs, 7 of Hearts, ,One Pair,15.8%
9 of Clubs, Queen of Clubs, Jack of Hearts, 9 of Spades, 2 of Hearts, ,One Pair,35.6%
King of Hearts, 2 of Hearts, 10 of Hearts, 9 of Spades, 10 of Clubs, ,One Pair,37.8%
4 of Diamonds, 5 of Clubs, Ace of Diamonds, 3 of Hearts, Ace of Hearts, ,High Card,0.0%
3 of Hearts, 5 of Diamonds, 6 of Clubs, Ace of Diamonds, Ace of Hearts, ,High Card,0.0%
10 of Diamonds, 4 of Hearts, 2 of Hearts, 6 of Clubs, 7 of Clubs, ,High Card,0.8%
Jack of Spades, 9 of Diamonds, 6 of Clubs, 10 of Hearts, 9 of Hearts, ,One Pair,32.800000000000004%
5 of Diamonds, 10 of Clubs, Jack of Hearts, 10 of Diamonds, King of Diamonds, ,One Pair,42.8%
Ace of Spades, 9 of Hearts, Jack of Spades, Ace of Clubs, Queen of Hearts, ,High Card,0.0%
Jack of Spades, 7 of Spades, 5 of Diamonds, Ace of Hearts, 6 of Diamonds, ,High Card,0.0%
4 of Clubs, King of Spades, Ace of Spades, Queen of Clubs, 9 of Clubs, ,High Card,0.0%
Queen of Clubs, 2 of Clubs, 9 of Diamonds, Jack of Hearts, 5 of Hearts, ,High Card,2.1999999999999997%
4 of Clubs, Queen of Clubs, 2 of Clubs, 8 of Diamonds, Queen of Hearts, ,One Pair,58.599999999999994%
6 of Spades, 3 of Spades, 10 of Diamonds, Jack of Spades, King of Diamonds, ,High Card,0.0%
5 of Spades, 5 of Hearts, Jack of Spades, 6 of Clubs, 10 of Spades, ,One Pair,11.0%
5 of Spades, 3 of Hearts, King of Diamonds, Queen of Hearts, King of Hearts, ,One Pair,65.8%
4 of Clubs, 2 of Spades, 3 of Spades, King of Diamonds, 8 of Clubs, ,High Card,2.1999999999999997%
King of Hearts, Queen of Diamonds, Jack of Clubs, Queen of Spades, 6 of Diamonds, ,One Pair,61.6%
4 of Spades, 5 of Diamonds, 9 of Diamonds, 8 of Hearts, Ace of Clubs, ,High Card,0.0%
7 of Spades, 5 of Clubs, King of Hearts, Queen of Spades, 2 of Spades, ,High Card,2.8000000000000003%
9 of Diamonds, 10 of Clubs, 5 of Clubs, 5 of Diamonds, Ace of Spades, ,One Pair,8.4%
2 of Clubs, 10 of Spades, 4 of Spades, Ace of Clubs, Jack of Diamonds, ,High Card,2.1999999999999997%
Jack of Hearts, 9 of Clubs, 8 of Hearts, 2 of Clubs, Ace of Diamonds, ,High Card,1.4000000000000001%
7 of Clubs, Jack of Clubs, 8 of Hearts, 3 of Hearts, Ace of Spades, ,High Card,0.0%
King of Hearts, 3 of Diamonds, 2 of Spades, Jack of Clubs, 10 of Diamonds, ,High Card,3.2%
7 of Hearts, 4 of Spades, 6 of Spades, Queen of Diamonds, King of Clubs, ,High Card,0.0%
